"year","title","artists","All artist","main_artist","genius_url","lyrics"
2016,"Peter Pan","Kelsea Ballerini",NA,"Kelsea Ballerini","https://genius.com/Kelsea-ballerini-peter-pan-lyrics",NA
2016,"Forever Country","Artists Of Then, Now and Forever",NA,"Artists Of Then","https://genius.com/Artists-of-then-now-and-forever-forever-country-lyrics",NA
2016,"Humble And Kind","Tim McGraw",NA,"Tim McGraw","https://genius.com/Tim-mcgraw-humble-and-kind-lyrics",NA
2016,"May We All","Florida Georgia Line","Time McGraw","Florida Georgia Line","https://genius.com/Florida-georgia-line-may-we-all-lyrics",NA
2016,"Came Here To Forget","Blake Shelton",NA,"Blake Shelton","https://genius.com/Blake-shelton-came-here-to-forget-lyrics",NA
2015,"Die A Happy Man","Thomas Rhett",NA,"Thomas Rhett","https://genius.com/Thomas-rhett-die-a-happy-man-lyrics",NA
2015,"Take Your Time","Sam Hunt",NA,"Sam Hunt","https://genius.com/Sam-hunt-take-your-time-lyrics",NA
2015,"House Party","Sam Hunt",NA,"Sam Hunt","https://genius.com/Sam-hunt-house-party-lyrics",NA
2015,"Strip It Down","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-strip-it-down-lyrics",NA
2015,"Kick The Dust Up","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-kick-the-dust-up-lyrics",NA
2015,"I See You","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-i-see-you-lyrics",NA
2015,"My Baby's Got A Smile On Her Face","Craig Wayne Boyd",NA,"Craig Wayne Boyd","https://genius.com/Craig-wayne-boyd-my-babys-got-a-smile-on-her-face-the-voice-performance-lyrics",NA
2015,"Break Up In A Small Town","Sam Hunt",NA,"Sam Hunt","https://genius.com/Sam-hunt-break-up-in-a-small-town-lyrics",NA
2015,"Homegrown","Zac Brown Band",NA,"Zac Brown Band","https://genius.com/Zac-brown-band-homegrown-lyrics",NA
2015,"John Cougar, John Deere, John 3:16","Keith Urban",NA,"Keith Urban","https://genius.com/Keith-urban-john-cougar-john-deere-john-3-16-lyrics",NA
2014,"Burnin' It Down","Jason Aldean",NA,"Jason Aldean","https://genius.com/Jason-aldean-burnin-it-down-lyrics",NA
2014,"Play It Again","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-play-it-again-lyrics",NA
2014,"Something In The Water","Carrie Underwood",NA,"Carrie Underwood","https://genius.com/Carrie-underwood-something-in-the-water-lyrics",NA
2014,"This Is How We Roll","Florida Georgia Line","Luke Bryan","Florida Georgia Line","https://genius.com/Florida-georgia-line-this-is-how-we-roll-lyrics",NA
2014,"Dirt","Florida Georgia Line",NA,"Florida Georgia Line","https://genius.com/Florida-georgia-line-dirt-lyrics",NA
2014,"Drink A Beer","Luke Bryan",NA,"Luke Bryan","https://genius.com/Luke-bryan-drink-a-beer-lyrics",NA
